name_fi_FI	name_en_US	name_sv_SE	type	mainLanguage	municipality_fi_FI	municipality_en_US	municipality_sv_SE	latitude	longitude
Alajärvi	Alajärvi	Alajärvi	Kaupunki	suomi	Etelä-Pohjanmaa	Etelä-Pohjanmaa	Södra Österbotten	63.0001054	23.8159264
Alavieska	Alavieska	Alavieska	Kunta	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	64.1653644	24.3077578
Alavus	Alavus	Alavus	Kaupunki	suomi	Etelä-Pohjanmaa	Etelä-Pohjanmaa	Södra Österbotten	62.5864513	23.6186654
Asikkala	Asikkala	Asikkala	Kunta	suomi	Päijät-Häme	Päijät-Häme	Päijänne-Tavastland	61.1721358	25.5471381
Askola	Askola	Askola	Kunta	suomi	Uusimaa	Uusimaa	Nyland	60.53044129999999	25.5978426
Aura	Aura	Aura	Kunta	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.6467431	22.5912172
Akaa	Akaa	Akaa	Kaupunki	suomi	Pirkanmaa	Pirkanmaa	Birkaland	61.1677422	23.8673424
Brändö	Brändö	Brändö	Kunta	ruotsi	Ahvenanmaa	Ahvenanmaa	Åland	60.41257169999999	21.0435938
Eckerö	Eckerö	Eckerö	Kunta	ruotsi	Ahvenanmaa	Ahvenanmaa	Åland	60.2231622	19.5595375
Enonkoski	Enonkoski	Enonkoski	Kunta	suomi	Etelä-Savo	Etelä-Savo	Södra Savolax	62.0893368	28.9160917
Enontekiö	Enontekiö	Enontekis	Kunta	suomi	Lappi	Lappi	Lappland	68.3838562	23.6332618
Espoo	Espoo	Esbo	Kaupunki	suomi - ruotsi	Uusimaa	Uusimaa	Nyland	60.2054911	24.6559
Eura	Eura	Eura	Kunta	suomi	Satakunta	Satakunta	Satakunta	61.1295802	22.1309557
Eurajoki	Eurajoki	Euraåminne	Kunta	suomi	Satakunta	Satakunta	Satakunta	61.2023562	21.7339845
Evijärvi	Evijärvi	Evijärvi	Kunta	suomi	Etelä-Pohjanmaa	Etelä-Pohjanmaa	Södra Österbotten	63.3640657	23.4860684
Finström	Finström	Finström	Kunta	ruotsi	Ahvenanmaa	Ahvenanmaa	Åland	60.2299128	19.9880632
Forssa	Forssa	Forssa	Kaupunki	suomi	Kanta-Häme	Kanta-Häme	Egentliga Tavastland	60.8146319	23.6339467
Föglö	Föglö	Föglö	Kunta	ruotsi	Ahvenanmaa	Ahvenanmaa	Åland	60.0146083	20.4139403
Geta	Geta	Geta	Kunta	ruotsi	Ahvenanmaa	Ahvenanmaa	Åland	60.5365981	19.7790227
Haapajärvi	Haapajärvi	Haapajärvi	Kaupunki	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	63.7486624	25.3180683
Haapavesi	Haapavesi	Haapavesi	Kaupunki	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	64.1373573	25.3669422
Hailuoto	Hailuoto	Karlö	Kunta	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	65.0095285	24.7150819
Halsua	Halsua	Halsua	Kunta	suomi	Keski-Pohjanmaa	Keski-Pohjanmaa	Mellersta Österbotten	63.4636256	24.1673442
Hamina	Hamina	Fredrikshamn	Kaupunki	suomi	Kymenlaakso	Kymenlaakso	Kymmenedalen	60.5693374	27.1878317
Hammarland	Hammarland	Hammarland	Kunta	ruotsi	Ahvenanmaa	Ahvenanmaa	Åland	60.2163990	19.7402399
Hankasalmi	Hankasalmi	Hankasalmi	Kunta	suomi	Keski-Suomi	Keski-Suomi	Mellersta Finland	62.3894407	26.4361327
Hanko	Hanko	Hangö	Kaupunki	suomi - ruotsi	Uusimaa	Uusimaa	Nyland	59.8344820	22.9647810
Harjavalta	Harjavalta	Harjavalta	Kaupunki	suomi	Satakunta	Satakunta	Satakunta	61.3137102	22.1413063
Hartola	Hartola	Hartola	Kunta	suomi	Päijät-Häme	Päijät-Häme	Päijänne-Tavastland	61.57981379999999	26.0201798
Hattula	Hattula	Hattula	Kunta	suomi	Kanta-Häme	Kanta-Häme	Egentliga Tavastland	61.05497229999999	24.3721302
Hausjärvi	Hausjärvi	Hausjärvi	Kunta	suomi	Kanta-Häme	Kanta-Häme	Egentliga Tavastland	60.7864735	25.0270946
Heinävesi	Heinävesi	Heinävesi	Kunta	suomi	Etelä-Savo	Etelä-Savo	Södra Savolax	62.4228036	28.6317663
Helsinki	Helsinki	Helsingfors	Kaupunki	suomi - ruotsi	Uusimaa	Uusimaa	Nyland	60.1698557	24.9383791
Vantaa	Vantaa	Vanda	Kaupunki	suomi - ruotsi	Uusimaa	Uusimaa	Nyland	60.2933524	25.0377686
Hirvensalmi	Hirvensalmi	Hirvensalmi	Kunta	suomi	Etelä-Savo	Etelä-Savo	Södra Savolax	61.642607	26.773174
Hollola	Hollola	Hollola	Kunta	suomi	Päijät-Häme	Päijät-Häme	Päijänne-Tavastland	60.9887015	25.5163229
Honkajoki	Honkajoki	Honkajoki	Kunta	suomi	Satakunta	Satakunta	Satakunta	61.9931999	22.2637290
Huittinen	Huittinen	Huittinen	Kaupunki	suomi	Satakunta	Satakunta	Satakunta	61.1760633	22.6980710
Humppila	Humppila	Humppila	Kunta	suomi	Kanta-Häme	Kanta-Häme	Egentliga Tavastland	60.9242263	23.3711033
Hyrynsalmi	Hyrynsalmi	Hyrynsalmi	Kunta	suomi	Kainuu	Kainuu	Kajanaland	64.6791446	28.4840297
Hyvinkää	Hyvinkää	Hyvinge	Kaupunki	suomi	Uusimaa	Uusimaa	Nyland	60.62995249999999	24.8580797
Hämeenkyrö	Hämeenkyrö	Tavastkyro	Kunta	suomi	Pirkanmaa	Pirkanmaa	Birkaland	61.6383264	23.1963490
Hämeenlinna	Hämeenlinna	Tavastehus	Kaupunki	suomi	Kanta-Häme	Kanta-Häme	Egentliga Tavastland	60.9928787	24.4590244
Heinola	Heinola	Heinola	Kaupunki	suomi	Päijät-Häme	Päijät-Häme	Päijänne-Tavastland	61.2102113	26.0457548
Ii	Ii	Ii	Kunta	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	65.3124958	25.3829274
Iisalmi	Iisalmi	Idensalmi	Kaupunki	suomi	Pohjois-Savo	Pohjois-Savo	Norra Savolax	63.5694237	27.1826451
Iitti	Iitti	Iitti	Kunta	suomi	Kymenlaakso	Kymenlaakso	Kymmenedalen	60.9367025	26.3996202
Ikaalinen	Ikaalinen	Ikalis	Kaupunki	suomi	Pirkanmaa	Pirkanmaa	Birkaland	61.7710190	23.0586579
Ilmajoki	Ilmajoki	Ilmajoki	Kunta	suomi	Etelä-Pohjanmaa	Etelä-Pohjanmaa	Södra Österbotten	62.7346099	22.5708697
Ilomantsi	Ilomantsi	Ilomants	Kunta	suomi	Pohjois-Karjala	Pohjois-Karjala	Norra Karelen	62.66788529999999	30.939491
Inari	Inari	Enare	Kunta	suomi	Lappi	Lappi	Lappland	68.9062206	27.0277658
Inkoo	Inkoo	Ingå	Kunta	ruotsi - suomi	Uusimaa	Uusimaa	Nyland	60.04587539999999	24.0045755
Isojoki	Isojoki	Storå	Kunta	suomi	Etelä-Pohjanmaa	Etelä-Pohjanmaa	Södra Österbotten	62.1140674	21.9576804
Isokyrö	Isokyrö	Storkyro	Kunta	suomi	Pohjanmaa	Pohjanmaa	Österbotten	62.99992690000001	22.3244647
Imatra	Imatra	Imatra	Kaupunki	suomi	Etelä-Karjala	Etelä-Karjala	Södra Karelen	61.1695977	28.7645463
Janakkala	Janakkala	Janakkala	Kunta	suomi	Kanta-Häme	Kanta-Häme	Egentliga Tavastland	60.92012459999999	24.6460018
Joensuu	Joensuu	Joensuu	Kaupunki	suomi	Pohjois-Karjala	Pohjois-Karjala	Norra Karelen	62.6010155	29.7635719
Jokioinen	Jokioinen	Jockis	Kunta	suomi	Kanta-Häme	Kanta-Häme	Egentliga Tavastland	60.8038426	23.4857583
Jomala	Jomala	Jomala	Kunta	ruotsi	Ahvenanmaa	Ahvenanmaa	Åland	60.1522174	19.9486168
Joroinen	Joroinen	Jorois	Kunta	suomi	Etelä-Savo	Etelä-Savo	Södra Savolax	62.1791433	27.825877
Joutsa	Joutsa	Joutsa	Kunta	suomi	Keski-Suomi	Keski-Suomi	Mellersta Finland	61.7429181	26.1137215
Juuka	Juuka	Juuka	Kunta	suomi	Pohjois-Karjala	Pohjois-Karjala	Norra Karelen	63.2432771	29.2545883
Juupajoki	Juupajoki	Juupajoki	Kunta	suomi	Pirkanmaa	Pirkanmaa	Birkaland	61.7961164	24.3699748
Juva	Juva	Juva	Kunta	suomi	Etelä-Savo	Etelä-Savo	Södra Savolax	61.89474730000001	27.8617614
Jyväskylä	Jyväskylä	Jyväskylä	Kaupunki	suomi	Keski-Suomi	Keski-Suomi	Mellersta Finland	62.2426034	25.7472567
Jämijärvi	Jämijärvi	Jämijärvi	Kunta	suomi	Satakunta	Satakunta	Satakunta	61.8327572	22.6228262
Jämsä	Jämsä	Jämsä	Kaupunki	suomi	Keski-Suomi	Keski-Suomi	Mellersta Finland	61.8619823	25.1802073
Järvenpää	Järvenpää	Träskända	Kaupunki	suomi	Uusimaa	Uusimaa	Nyland	60.4747894	25.0971051
Kaarina	Kaarina	S:t Karins	Kaupunki	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.4095118	22.3841265
Kaavi	Kaavi	Kaavi	Kunta	suomi	Pohjois-Savo	Pohjois-Savo	Norra Savolax	62.9747491	28.4933046
Kajaani	Kajaani	Kajana	Kaupunki	suomi	Kainuu	Kainuu	Kajanaland	64.2221775	27.7278497
Kalajoki	Kalajoki	Kalajoki	Kaupunki	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	64.2578615	23.9476278
